 ,Time,Time,Place,Place,Place,Place,Place,Place,Place,Environment,Environment,Environment,Environment,Environment,Environment,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Aircraft 1,Component,Component,Component,Component,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Aircraft 2,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 1,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Person 2,Events,Events,Events,Events,Events,Events,Assessments,Assessments,Report 1,Report 1,Report 2,Report 2,Report 1,
1173570,201405,1801-2400,ZMP.ARTCC,MN,,,,23000,,,,,,,,Center ZMP,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,,,Cruise,,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center ZMP,,Any Unknown or Unlisted Aircraft Manufacturer,,1,,IFR,,,Descent,,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 22.5,,Communication Breakdown,Party1 ATC; Party2 Flight Crew,,1173570,,,,,,,,,,,,ATC Issue All Types; Conflict Airborne Conflict; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance,Procedure; Company Policy,Company Policy,"The UAS was delaying in M4S; M5S; M6S areas with an EFC of XA00z. When [these type of flights] delay in these 'Mike Boxes' controllers separate aircraft; not airspace like a MOA or ATCAA. When a traffic situation arises I normally leave the UAS type of flight alone and move the other aircraft. Today I tried turning the UAS. I issued a 180 heading to the UAS. The UAS response was that they were on a preprogrammed flight. I questioned the pilot; 'UAS verify that you are not accepting an ATC clearance?' The UAS did not respond. This left me with only the option of moving another aircraft. Unmanned aircraft systems (UAS) do have limitations; but accepting an ATC clearance [at the UAV operators own discretion] should not; and can not be one of them.I think that the level of service that our facility and controllers give to UAS flights has allowed the UAS operators to become complacent. I think that they believe that they have a sense of entitlement; knowing that legislation has been passed that the FAA shall integrate UAS into the National Airspace System (NAS). This mind set must change.",,,,"ZMP Controller reports of a government agency UAS that did not follow ATC instructions in controlled airspace.",
1177705,201406,1801-2400,ZMP.ARTCC,MN,,,,50000,,,,,Daylight,,,Center ZMP,Military,UAV - Unpiloted Aerial Vehicle,,2,Part 91,IFR,,,Cruise,None,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMP.ARTCC,,Government,Enroute; Supervisor / CIC,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 9,,Training / Qualification; Confusion; Communication Breakdown,Party1 ATC; Party2 ATC,,1177705,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 22.5,,Communication Breakdown; Confusion,Party1 ATC; Party2 ATC,,1177724,ATC Issue All Types; Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,,Aircraft; Procedure,Procedure,"Aircraft X is a UAV that flies in our area frequently. The last couple days they have had issues with communication and rather than flying NORDO procedures they have been calling the FLM desk for clearance. In this case; Aircraft X wanted to transit to the A4 box. I asked the sector that Aircraft X was going to; but failed to advise the sector Aircraft X was leaving. Today I learned that Aircraft X was filing a report as they were going to be a Whiskey Alert had I not given the clearance.When Aircraft X goes NORDO the mission should be completed and procedures for them to land should occur. Also; I should know my airspace better to know where I was clearing Aircraft X from; not just to.",,"Aircraft X was cleared to delay in A3 FL500B590. Aircraft X was flying eastbound near the east boundary of A3. I advised Aircraft X that they only had clearance into A3. Aircraft X claimed to have clearance into A4 (adjacent ATCAA). The Controller of A4 did not give clearance into A4. I advised Aircraft X to maintain in A3. I advised the FLM of the spill out. The FLM told me that she had given Aircraft X the clearance into A4 via the phone. The FLM also stated that Aircraft X could not communicate with me via the frequency. I find this very hard to believe; given the altitude of Aircraft X; and the fact that no other aircraft had a frequency issue. If Aircraft X could not communicate with me; why didn't they squawk 7600?I recommend that in the event of a loss of communications that all [aircraft] squawk an appropriate code to allow the Controller to realize that there is a problem. Also; the FLM should not issue a clearance to any aircraft until receiving approval to do so from the Controller working the aircraft.","Reporter stated on phone call that after filing his report he found out that the FLM had approved the operation; but did not coordinate with the two adjacent sectors about the flight.","Communication between FLM and CPC did was not complete causing confusion over if an UAV aircraft had permission to leave one warning area for another. Major problem with the aircraft was that it was a known NORDO on departure and while flying.",
1198754,201408,1201-1800,CRP.TRACON,TX,,,,3000,,,,,Daylight,,,TRACON CRP,Military,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,Tactical,,Climb,,Class C CRP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility CRP.TRACON,,Government,Departure,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 18,,Confusion; Communication Breakdown; Situational Awareness,Party1 ATC; Party2 Flight Crew,,1198754,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural Clearance; Inflight Event / Encounter Weather / Turbulence,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Air Traffic Control Separated Traffic; Flight Crew Returned To Clearance,Aircraft; Procedure; Weather,Procedure,"I took the position with Aircraft X (UAV) being released from Navy Corpus Christ; [XXX1] departure; climbing to FL030. Aircraft departed; and I observed him climb to FL027. I restored automatic releases to NGP Tower. Then I saw Aircraft X descending and turning south. I observed Aircraft X's Mode C indicate FL015. No response to radio calls. I called NGP Tower and canceled automatic releases. Re-established radio communication with Aircraft X and pilot advised he had maneuvered and descended to avoid clouds. Aircraft X was then climbed to FL150. Aircraft X then advised he was working on his 2nd radio; and would hold until it was ready. Aircraft X was still holding at time of my relief. Pilot of Aircraft X should request a turn/altitude descent.",,,,"CRP TRACON Controller reports of an aircraft that climbed almost to assigned altitude; but then was observed descending 1;200 FT below observed altitude due to weather.",
1203977,201409,,EYW.Airport,FL,,,,,,,,,,,,Tower EYW,Personal,UAV - Unpiloted Aerial Vehicle,,1,Part 91,None,Personal,,,,Class D EYW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility EYW.Tower,,Government,Ground; Local; Supervisor / CIC; Flight Data / Clearance Delivery,Air Traffic Control Fully Certified,Air Traffic Control Military 12; Air Traffic Control Radar 5; Air Traffic Control Supervisory 5,,Communication Breakdown; Situational Awareness; Distraction,Party1 ATC; Party2 Other,,1203977,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,,Aircraft; Procedure,Procedure,"Drone aircraft are operating with in the Class Delta Airspace without communication with the ATC Facility having jurisdiction.",,,,"EYW Tower FLM reports of a drone that violated Class Delta airspace.",
1205232,201409,1801-2400,ZMP.ARTCC,MN,,,,24000,,,,,,,,Center ZMP,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,Tactical,,Cruise,,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 8.5,,Communication Breakdown; Confusion; Distraction; Situational Awareness,Party1 Flight Crew; Party2 ATC,,1205232,,,,,,,,,,,,Deviation - Altitude Excursion From Assigned Altitude; Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Provided Assistance; Air Traffic Control Issued New Clearance,Aircraft; Procedure,Procedure,"Aircraft X was in route and called ZMP to request to return to RDR. The Controller cleared them back to RDR and I assumed the sector. About 15 minutes later I noticed Aircraft X off course and headed south. I questioned the aircraft and asked if they needed assistance and the reply from the pilot was 'Correcting'. I informed my Supervisor and was told to inform the pilot off a possible pilot deviation and instructed them to call ZMP Operating Manager in Charge (OMIC). This event happened again a few minutes later with the Controller to the north of me. The [UAV] aircraft have difficulty holding altitudes and headings. The radios are not efficient enough with the lag time to communicate with the pilots when we need to. They are not safe to be flying in the NAS with other aircraft.",,,,"ZMP Controller reports of an aircraft that turns off course and then is put back on course by ATC. Reporter then states aircraft has difficulty holding correct altitude and headings later in the session.",
1206672,201409,1201-1800,ZMA.ARTCC,FL,,,,60000,,,,,Daylight,,,Center ZMA,Military,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,Tactical,,Cruise,None,Class A ZMA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMA.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 29,,Confusion; Communication Breakdown; Distraction; Situational Awareness,Party1 ATC; Party2 ATC,,1206672,,,,,,,,,,,,Airspace Violation All Types; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,,Aircraft; Procedure,Procedure,"While working an adjacent sector I witnessed aircraft spilling out of W168. The briefing package at the sector was vague and had no detailed information on the UAV aircraft or the mission. It was just a black and white map. Not even sure if lined up exactly with the warning Area W168.Procedures and the Military desk should prepare and distribute a comprehensive detailed package to brief ongoing missions and particularly these missions. The briefing package should include times; altitudes; call signs; aircraft types; routes; maps; frequencies; etc and should be available for controller reference and briefing prior to assuming the position. When this type of aircraft is involved it should include lost com procedures and operator/pilot phone numbers. Lost link procedures and possible 'Loiter Points' and loiter altitudes as well as frequencies and radio capabilities.",,,,"ZMA reports of an aircraft spill out that area had no information about.",
1208050,201409,0601-1200,MSP.Airport,MN,,,50,,,,,,Daylight,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,,,Personal,,Climb; Cruise,,Class B MSP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Gate / Ramp / Line,,Personal,Pilot Flying,,,,Confusion; Situational Awareness,,,1208050,Gate / Ramp / Line,,,Observer,,,,,,,1206322,Airspace Violation All Types; Deviation / Discrepancy - Procedural Published Material / Policy; Deviation / Discrepancy - Procedural FAR,,,Person Observer,In-flight,General Flight Cancelled / Delayed,Human Factors; Procedure,Human Factors,"OVERVIEW: I was made aware that my flight with a small multi-rotor model aircraft in late September may have been in violation of entry with an 'aircraft' into Class B airspace near the MSP airport.Before; during; and after the flight; it was (and still is) my understanding that I was in no way violating any established FAA rules or regulations specific to the operation of model aircraft. This belief was largely based upon current case law: 'A recent NTSB decisional order states that 'model aircraft' operations are not bound by FAA oversight; as they do not currently meet the definition of an 'aircraft.' This precedent made it my understanding that no existing FAA law or regulation was violated during the operation of my 'model aircraft' equipment in late September (in fact; no official FAA law; rule; or regulation currently exists for model aircraft operation; as no such policies have been submitted to and approved by Congress).  FLIGHT SAFETY:My first priority was and always is; flight safety. After scouting the location; I carefully considered whether this flight would in any way cause harm or pose a safety risk to people and/or property both on the ground and in the air. I concluded that the flight could proceed as planned at the specified location; because it could be performed with zero risk to safety. In addition to commonly known safety practices for model aircraft; I implemented the following procedures to ensure a safe flight operation: Safe Location: The site includes a 4-story condo building located roughly a mile from the MSP airport; set on the edge of a wildlife refuge at an estimated 80 - 100 feet below airport grade elevation. Located nearby; in between the site location and the airport; are tall; 10-story office buildings directly to the north and west. Non-Navigable Airspace: The adjacent tall buildings and lower-lying site location create an area of non-navigable airspace by traditional aircraft. Additionally; the location in focus is not aligned with any runway arrival paths. Low Flight Altitude/Position: The flight was limited to the immediate 4-story condo building area at altitudes from the surface to no more than roof-height of any buildings. The majority of flight time was spent over the trees toward the river valley at altitudes around 50 feet high. Monitored MSP Traffic Flow: The flight was planned to take place at a time when air traffic at MSP was limited to arrivals and departures from runways 12 L/R; plus departures-only from runway 17. At all times; I maintained a listening watch of the south tower (123.675) for active departures off Runway 17. When an aircraft was instructed to line up and wait for departure; I would immediately land; and wait for traffic to take off and completely clear to the southeast before proceeding. Maximum time to react; land; and disarm the vehicle from any given point in flight is less than 10 seconds. Fail Safe: Flight position and direct line-of-sight was maintained at all times; and a home location was set and verified prior to take off. Horizontal flight range was limited to non-navigable airspace and go-home altitude was set to 60-feet; thus ensuring that the vehicle would never enter active; controlled; navigable airspace.SUMMARY: Considering the absence of any enforceable FAA regulation for this type of operation; I did not at the time of flight; and still do not believe that I was in violation of any laws; rules; or regulation.I consider myself a foremost expert in the new and emerging field of model aircraft operation. I take pride in the fact that I have maintained a flawless safety and reliability record. Additionally; I consistently apply professional aviation knowledge; experience; and skill during every model aircraft flight. Although I flew in a completely safe manner; with proper precautions and contingencies; I do regret my decision to fly within close proximity to the MSP airport. I realize now that this action may have been cause for great concern. I wholeheartedly and sincerely apologize for operating near the MSP airport. Moving forward; I will cease any and all flights within Class B airspace; or within close proximity to an airport.",,"A small; fixed wing unmanned aircraft was launched somewhere near Loeb Lake/Marydale Park in Saint Paul and ascended to the east for about 20 minutes. I regularly see manned aircraft on approach to STP flying over the lake using it and Lake Como as a reference/reporting point for STP Runway 14 or the helicopter visual approach into Regions hospital. It is not possible to see the approach of a manned aircraft from the vantage point where these amateur UAS pilots are operating and; in many cases; impossible to see or hear from which direction the manned aircraft is approaching from this area. Somehow I doubt the amateur UAS pilot was in contact with air traffic control.",,"A multi-rotor UAS operator reported he does not believe he violated an FAA rules or regulations when he flew his UAS in MSP Class B about 1 mile south of MSP up to about 60 FT. A Private Pilot observer reported the small UAS aircraft operating at about 400 FT within three miles of STP and in the VFR approach to Regions Hospital.",
1212370,201409,0001-0600,ZMP.ARTCC,MN,,,,24000,,VMC,,,Daylight,,,Center ZMP,Government,UAV - Unpiloted Aerial Vehicle,,1,Part 91,IFR,Ferry / Re-Positioning,,Cruise,Other Transitional FAA COA,Class A ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Government,Instructor; Pilot Flying,Flight Crew Flight Instructor; Flight Crew Instrument; Flight Crew Multiengine; Flight Crew Commercial,Flight Crew Last 90 Days 75; Flight Crew Total 3800; Flight Crew Type 150,,Other / Unknown,,,1212370,,,,,,,,,,,,Deviation - Track / Heading All Types; Deviation / Discrepancy - Procedural Clearance,,,Person Air Traffic Control; Person Flight Crew,In-flight,Air Traffic Control Issued Advisory / Alert; Aircraft Automation Overrode Flight Crew; Flight Crew Returned To Clearance,Human Factors,Human Factors,"Aircraft was being operated by the Ground Control Station at the AFB. The aircraft had an operational mission that was used for the transition from RDR to FHU within the FAA transitional COA.  The weather deteriorated at the destination; so the aircraft was turned around to return to RDR.  Upon turning around the operational mission in the aircraft was updated and the aircraft started a turn back to the south. Upon noticing the route deviation; the incorrect routing programmed into flight management system and the aircraft turning; manual control of aircraft was then taken to get back on route. ATC notified the deviation of the aircraft and the aircraft was already going back in the correct direction.  In order to prevent the same deviation from happening the missions sent to the aircraft are verified further upon returning to the home station.",,,,"MQ9 pilot reports turning the aircraft around to return to base; when the original mission is canceled due to weather. When the operational mission in the aircraft was updated; the aircraft started a turn back to the south. This was quickly detected by the pilot and corrected manually.",
1215886,201411,1801-2400,,,,,,,,,,,Night,,,,,UAV - Unpiloted Aerial Vehicle,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Government,Observer,Other Federal Agent,,,,,,1215886,,,,,,,,,,,,Other Unauthorized drone operation.,,N,Person Observer,In-flight,General None Reported / Taken,Human Factors,Human Factors,"[Early this month; near dusk; I] noticed a Unmanned Aerial Vehicle (UAV) flying near the window of [an] office; located on the 17th floor. The drone appeared to have red and white lights affixed and an operator was seen on the roof of [another building] attempting to land the UAV on the roof of that building. Due to darkness and distance; a physical description of the operator was unable to be visually obtained.",,,,"A Federal Agent reported a suspicious sighting of a UAV flying near the window of an office building.",
1223768,201412,0001-0600,ZAB.ARTCC,NM,,,,21000,,,,,,,,Center ZAB,,UAV - Unpiloted Aerial Vehicle,,1,,IFR,,,Cruise,,Class A ZAB,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center ZAB,,Super King Air 200,,2,,IFR,,,Cruise,,Class A ZAB,,,,,,,,,,,,,,,,,,,,,,,,Facility ZAB.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Training / Qualification,,,1223768,,,,,,,,,,,,Conflict Airborne Conflict; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued Advisory / Alert; Air Traffic Control Issued New Clearance; Flight Crew Returned To Clearance,Human Factors,Human Factors,"Due to poor staffing we had sector 46 combined over at R42. I am here on yet another overtime shift and even with me and another overtime we are still below numbers. So there is an issue right there but not the one we are here for. So I am working R42 with 46 combined. I am aware that we have an UAV returning. I have already been looking for him and have seen his code and started the track for him when he calls center. I tell him to go ahead and he says he is giving us a radio check 7 min south of VYLLA. I give him his code and have him ident and radar identify him 30 miles south of VYLLA. He is level at FL210. I go about work and have the supervisor call the inbound since I am busy with two sectors and two frequencies; so I'm already dealing with frequency congestion with the two sectors frequencies. I now have a BE20 call me south of VYLLA and I radar identify him level at FL200. Unexpectedly; the UAV starts descending. He is still south of VYLLA and about 4 miles east of the BE20. So separation is already lost. I call the UAV and tell him to climb to FL210. He doesn't respond and continues descent. I call again and he finally answers and I clear him back to FL210 and call the traffic. He acknowledges and says returning to FL210. I then try to ascertain why he was descending to FL200. He responds by saying he has just leveled at FL200 after I had cleared him and he acknowledged the climb to FL210! I again tell him to climb and maintain FL210 and I also turned him 20 right since he and the BE20 were both converging at VYLLA and since he clearly didn't understand my clearance to FL210. He again acknowledges the climb and turn and finally starts the climb. As soon as the BE20 enters my airspace I descend him to FL180. I keep trying to get the UAV pilot to give me his reason for his descent and I finally get that they had just made a 'pilot swap' and that the LOA states they cross into US airspace at FL200 so he just descended to FL200. I ask if the Controller had issued that crossing instruction and he says negative it is in the LOA. I advised him the LOA doesn't supersede ATC clearances and he cannot descend without a clearance from ATC. If we are expected to work more and more UAVs then the pilots of the UAVs need to be trained pilots in the NAS. They should hold current pilots licenses with proper ratings. They need to understand they must obey all ATC clearances and that an ATC clearance supersedes any other LOA or flight plan or anything. Also UAVs are notoriously hard to get a hold of sometimes and they often go NORDO for long periods of time. Their radios are poor and transmissions are hard to understand much of the time. If this UAV hadn't finally responded to me he could have been over VYLLA at FL200 at the same time as the BE20. Of course I would have tried to move the BE20 but when dealing with Foreign ATC sometimes they get lost in the transfer and they don't ship aircraft until they are over VYLLA. This could have been worse than a loss of separation. I feel that we need to relook at UAVs in the NAS. Are they safe? Are the pilots properly trained and do they understand how things operate in the NAS?",,,,"ZAB Controller reports a UAV descending without clearance; causing loss of separation with a BE20. The UAV pilot stated he was descending in compliance with the LOA. The reporter believes that UAV pilots should have licenses and be properly trained to fly an IFR clearance in the NAS.",
1226425,201412,0601-1200,ZZZ.ARTCC,US,,,,20000,,VMC,,,Daylight,,,Center ZZZ,Corporate,UAV - Unpiloted Aerial Vehicle,,2,Part 91,IFR,,,Cruise,Direct,Class A ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Corporate,Pilot Not Flying,Flight Crew Instrument; Flight Crew Private,Flight Crew Last 90 Days 150; Flight Crew Total 1000; Flight Crew Type 1000,,,,,1226425,,,,,,,,,,,,Aircraft Equipment Problem Less Severe; Deviation - Altitude Excursion From Assigned Altitude; Deviation / Discrepancy - Procedural Clearance,,,Person Flight Crew,In-flight,Flight Crew Regained Aircraft Control,Equipment / Tooling; Aircraft,Ambiguous,"We were transferring control of a UAV from one ground control station to another ground control station. The MQ-1C was level at FL200 in a counter clockwise loiter in [restricted area]. In the process of the hand off communication was lost with the UAV. The aircraft conducted the pre planned lost link mission and proceeded to the southern edge of [restricted area] at 11;000 MSL. The aircraft remained in lost link for approximately 3 minutes before link was re-established and aircraft was commanded to FL200. During the lost link emergency event the aircraft deviated from assigned altitude approximately 1;500 feet.",,,,"MQ-1C UAV operator reported losing ground link with the aircraft for approximately 3 minutes; during which time the UAV deviated about 1;500 FT from assigned altitude.",
1228374,201412,1201-1800,,,,,,,,VMC,,,Daylight,,,,Personal,UAV - Unpiloted Aerial Vehicle,,,,,Personal,,Takeoff / Launch,,Class G ZZZ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Pilot Flying,Flight Crew Instrument; Flight Crew Private,,,Human-Machine Interface,,,1228374,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR,,,Person Flight Crew,,General None Reported / Taken,Aircraft; Human Factors,Aircraft,"Toy/Consumer Unmanned Aircraft System - Parrot S.A. Rolling Spider Mini Drone. We were flying it outside using an iPhone 6 Plus; via Bluetooth 4.0; and the Parrot S.A. FreeFlight 3.0 iOS application. The application has an altitude limitation option which was on by default to (according to my best recollection) on or about 9 meters (I can't access the option to verify the value without the UAS; but it was active). The aircraft was outside and went into an uncontrolled straight vertical climb. The Bluetooth 4.0 range is about 20 meters; which it rapidly exceeded and lost connectivity with the controller. The UAS; being so small (approximately 5 inches in length; 5 inches in width; and 2 inches height) continued to climb until we lost visual contact. The device had approximately 80% battery life remaining; and can fly up to 5-10 minutes at full charge. I do not know how high the UAS climbed out of control before it began a descent. The UAS has not been found. There were no other aircraft in the immediate vicinity. A brief search on[line] indicates other users having similar problems with these Toy/Consumer UAS devices.",,,,"Small drone operator reports losing control of a mini drone which disappears out of sight vertically and is not recovered. The drone had a pre programmed altitude limit of nine meters and was being controlled by an iPhone with a free flight application via bluetooth.",
1244475,201502,1201-1800,FTY.Airport,GA,,,76,,,Mixed,,,Daylight,,,,,UAV - Unpiloted Aerial Vehicle,,,,,,,,,Class B ATL; Class D FTY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hangar / Base,,Personal,Single Pilot; Trainee,Flight Crew Air Transport Pilot (ATP),Flight Crew Last 90 Days 0; Flight Crew Total 6500; Flight Crew Type 1,,Situational Awareness,,,1244475,,,,,,,,,,,,Airspace Violation All Types,,N,Person Flight Crew,Other After the event,General None Reported / Taken,Human Factors,Human Factors,"Purchased a DJI Inspire 1 UAV. My previous experience with Radio Control systems was with cars in 1985. Eager to test fly the UAV; I flew it at my parents' home; not realizing that FTY was actually less than five miles from their home. During the flight the highest I flew the UAV was about 76 feet for less than one minute. Other than that; total flight time was 15 minutes at an altitude ranging from .5 to 13 feet. At no time did I fly higher than tree level or enter Class B Airspace. At no time did the flight interfere with private or commercial air traffic. At no time was there a traffic conflict.[In the future I will] conduct an airport recon and distance check prior to UAV flight.",,,,"An ATP rated pilot purchased a small UAV and inadvertently flew it within five miles of an airport but never at an altitude above 76 feet and; thus; did not consider the operation to have been a hazard to manned aircraft.",
1251457,201503,0601-1200,,,,,,,,,,,Daylight,,,,,UAV - Unpiloted Aerial Vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Personal,Observer,,,,Situational Awareness,,,1251457,,,,,,,,,,,,Deviation / Discrepancy - Procedural FAR,,,Person Observer,,General None Reported / Taken,Procedure,Procedure,"[Company] Owners flying unsafely in Civilian airspace over a neighborhood with a UAV for profit.",,,,"A Los Angeles; California observer reported someone flying a UAV for profit over a neighborhood. Exact location unknown.",
1264229,201505,1201-1800,ZMP.ARTCC,MN,,,,10000,,,,,Daylight,,,Center ZMP,Military,UAV - Unpiloted Aerial Vehicle,,2,Part 91,IFR,Tactical,,Cruise,,Class E ZMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,Center ZMP,Military,UAV - Unpiloted Aerial Vehicle,,2,Part 91,IFR,Tactical,,Cruise,,Class E ZMP,,,,,,,,,,,,,,,,,,,,,,,,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,Air Traffic Control Time Certified In Pos 1 (yrs) 23.5,,Situational Awareness; Confusion; Distraction,,,1264229,Facility ZMP.ARTCC,,Government,Enroute,Air Traffic Control Fully Certified,,,Situational Awareness; Distraction; Confusion,,,1264225,ATC Issue All Types; Deviation / Discrepancy - Procedural Published Material / Policy,,,Person Air Traffic Control,In-flight,Air Traffic Control Issued New Clearance,ATC Equipment / Nav Facility / Buildings; Procedure,Procedure,"When I took over Sector 24; Finley Radar (QFI) had just been taken out of service for maintenance. Usually when this happens; affected adjacent facilities are notified. Aircraft X had already departed RDR but was still in GFK Approach airspace. A short time later they called a handoff. I advised them that our radar was out and to terminate and ship Aircraft X to me. The aircraft checked on requesting clearance into R5402 and R5403 which I could not do as those airspace were not active until about 20 minutes.As this was all playing out; the question was raised that these drones cannot be operating in our airspace if our radar is out of service as we cannot radar monitor them. In the meantime; a second aircraft; Aircraft Y; departed heading for the airspace. By this time it was decided to recall the radar.In this situation; having a predetermined non-radar route to transition from approach control into the restricted areas would have solved the problem. In the bigger picture; there is a big push from the highest levels of government to get these drones integrated into the airspace system. Yet; very little thought seems to [be] given by these individuals as to what it really involves; how complex it is and most importantly; how to do it safely. All that seems to matter is it needs to be done so that people can make money.This is a very dangerous path to follow and can only lead to serious problems down the road. Safety should be the first order of business; not money. Procedures need to be developed to insure safe operation for all involved. These procedures need to be clear and not buried in legal terms.","Controller advised the biggest concern was the corridor between GFK and the restricted area. The controllers have to be able to monitor the aircraft in this corridor and they were not able to due to the radar being OTS. Once the radar was returned; [about 15 minutes] operations could continue.","Radar outage. Aircraft X departs RDR; goes to restricted airspace R5402. Needs to get there through TFR. With a radar outage we cannot radar monitor the aircraft. There is no approved routing we can use to get the aircraft to R5402. Also if aircraft goes lost link at any time before entering the restricted area it cannot be monitored. Either we need the radar or the aircraft cannot fly; unless we can get some approved nonradar routing. There is still problem of lost link though.",,"ZMP Controllers describe the radar being released to Maintenance for a specific time; then realized that they shouldn't be operating drones in the airspace if they don't have radar. Controllers then advise they get the radar back in service. Controllers state it is a big push to get drones integrated into the NAS; yet very little thought is being given to provide the controllers specific procedures.",
